drug,model,brier_uncal,brier_sigmoid,brier_isotonic,ece_uncal,ece_sigmoid,ece_isotonic
AMP,LR,0.0278,0.0234,0.0221,0.0574,0.0157,0.0067
AMP,RF,0.0292,0.0269,0.0256,0.0483,0.0169,0.0157
AUG,LR,0.017,0.0169,0.0152,0.0329,0.0174,0.0086
AUG,RF,0.0173,0.0164,0.0147,0.0182,0.0171,0.0101
AXO,LR,0.0035,0.0047,0.0034,0.0128,0.0124,0.004
AXO,RF,0.0042,0.0047,0.0038,0.0058,0.0096,0.0046
CHL,LR,0.0308,0.0194,0.0185,0.076,0.014,0.0045
CHL,RF,0.0274,0.0221,0.0204,0.0423,0.0168,0.0076
FOX,LR,0.0057,0.0065,0.0045,0.0235,0.0123,0.0046
FOX,RF,0.0067,0.0056,0.0049,0.0137,0.0089,0.0063
