drug,model,pt,net_benefit_model,nb_treat_all,nb_treat_none
AMP,LR,0.05,0.1542,0.1269,0.0
AMP,LR,0.1,0.1539,0.0784,0.0
AMP,LR,0.2,0.1521,-0.0368,0.0
AMP,LR,0.3,0.1514,-0.185,0.0
AMP,LR,0.5,0.1465,-0.659,0.0
AMP,RF,0.05,0.1548,0.1269,0.0
AMP,RF,0.1,0.1541,0.0784,0.0
AMP,RF,0.2,0.15,-0.0368,0.0
AMP,RF,0.3,0.1459,-0.185,0.0
AMP,RF,0.5,0.1457,-0.659,0.0
AUG,LR,0.05,0.1129,0.0727,0.0
AUG,LR,0.1,0.1123,0.0212,0.0
AUG,LR,0.2,0.111,-0.1011,0.0
AUG,LR,0.3,0.1096,-0.2584,0.0
AUG,LR,0.5,0.1028,-0.7618,0.0
AUG,RF,0.05,0.1123,0.0727,0.0
AUG,RF,0.1,0.1119,0.0212,0.0
AUG,RF,0.2,0.1114,-0.1011,0.0
AUG,RF,0.3,0.1099,-0.2584,0.0
AUG,RF,0.5,0.1045,-0.7618,0.0
AXO,LR,0.05,0.059,0.0114,0.0
AXO,LR,0.1,0.0578,-0.0435,0.0
AXO,LR,0.2,0.0574,-0.174,0.0
AXO,LR,0.3,0.058,-0.3417,0.0
AXO,LR,0.5,0.0566,-0.8783,0.0
AXO,RF,0.05,0.0591,0.0114,0.0
AXO,RF,0.1,0.0581,-0.0435,0.0
AXO,RF,0.2,0.0578,-0.174,0.0
AXO,RF,0.3,0.0577,-0.3417,0.0
AXO,RF,0.5,0.0566,-0.8783,0.0
CHL,LR,0.05,0.0936,0.061,0.0
CHL,LR,0.1,0.0924,0.0089,0.0
CHL,LR,0.2,0.09,-0.115,0.0
CHL,LR,0.3,0.0883,-0.2743,0.0
CHL,LR,0.5,0.0891,-0.7841,0.0
CHL,RF,0.05,0.0908,0.061,0.0
CHL,RF,0.1,0.0919,0.0089,0.0
CHL,RF,0.2,0.0913,-0.115,0.0
CHL,RF,0.3,0.0885,-0.2743,0.0
CHL,RF,0.5,0.0848,-0.7841,0.0
FOX,LR,0.05,0.0585,0.0114,0.0
FOX,LR,0.1,0.058,-0.0435,0.0
FOX,LR,0.2,0.0566,-0.174,0.0
FOX,LR,0.3,0.0567,-0.3417,0.0
FOX,LR,0.5,0.0548,-0.8783,0.0
FOX,RF,0.05,0.0584,0.0114,0.0
FOX,RF,0.1,0.0582,-0.0435,0.0
FOX,RF,0.2,0.0553,-0.174,0.0
FOX,RF,0.3,0.0547,-0.3417,0.0
FOX,RF,0.5,0.0548,-0.8783,0.0
