drug,model,calib,threshold,sensitivity,specificity,ppv,npv,alert_rate
AMP,LR,isotonic,0.3,0.91,0.99,0.948,0.982,0.164
AMP,LR,isotonic,0.5,0.889,0.994,0.967,0.978,0.157
AMP,LR,isotonic,0.7,0.869,0.995,0.972,0.974,0.153
AMP,RF,isotonic,0.3,0.894,0.981,0.908,0.978,0.168
AMP,RF,isotonic,0.5,0.894,0.992,0.957,0.979,0.159
AMP,RF,isotonic,0.7,0.834,0.995,0.971,0.967,0.147
AUG,LR,isotonic,0.3,0.957,0.988,0.917,0.994,0.124
AUG,LR,isotonic,0.5,0.942,0.989,0.923,0.992,0.122
AUG,LR,isotonic,0.7,0.928,0.989,0.921,0.99,0.12
AUG,RF,isotonic,0.3,0.957,0.989,0.924,0.994,0.123
AUG,RF,isotonic,0.5,0.957,0.989,0.924,0.994,0.123
AUG,RF,isotonic,0.7,0.899,0.991,0.933,0.986,0.115
AXO,LR,isotonic,0.3,0.972,0.997,0.958,0.998,0.062
AXO,LR,isotonic,0.5,0.972,0.997,0.958,0.998,0.062
AXO,LR,isotonic,0.7,0.93,0.999,0.985,0.995,0.057
AXO,RF,isotonic,0.3,0.972,0.996,0.945,0.998,0.063
AXO,RF,isotonic,0.5,0.958,0.998,0.971,0.997,0.06
AXO,RF,isotonic,0.7,0.915,0.999,0.985,0.995,0.057
CHL,LR,isotonic,0.3,0.841,0.993,0.938,0.981,0.097
CHL,LR,isotonic,0.5,0.833,0.999,0.991,0.98,0.091
CHL,LR,isotonic,0.7,0.81,0.999,0.99,0.977,0.088
CHL,RF,isotonic,0.3,0.833,0.996,0.963,0.98,0.093
CHL,RF,isotonic,0.5,0.802,0.998,0.981,0.977,0.088
CHL,RF,isotonic,0.7,0.786,0.998,0.98,0.975,0.087
FOX,LR,isotonic,0.3,0.944,0.998,0.971,0.996,0.059
FOX,LR,isotonic,0.5,0.915,0.999,0.985,0.995,0.057
FOX,LR,isotonic,0.7,0.887,1.0,1.0,0.993,0.054
FOX,RF,isotonic,0.3,0.93,0.995,0.93,0.995,0.061
FOX,RF,isotonic,0.5,0.93,0.998,0.971,0.995,0.058
FOX,RF,isotonic,0.7,0.901,1.0,1.0,0.994,0.055
