drug,model,calib,bin_mid,conf,acc,n
AMP,LR,isotonic,0.05,0.01613997940895324,0.016789087093389297,953
AMP,LR,isotonic,0.15000000000000002,0.14103253581415662,0.07142857142857142,14
AMP,LR,isotonic,0.25,0.24341701467417862,0.1111111111111111,9
AMP,LR,isotonic,0.35000000000000003,0.33570732875437514,0.2,5
AMP,LR,isotonic,0.45,0.4546197423853446,1.0,3
AMP,LR,isotonic,0.55,0.5444585777921089,1.0,2
AMP,LR,isotonic,0.6500000000000001,0.6737883100874648,0.6666666666666666,3
AMP,LR,isotonic,0.75,0.7132493619056186,1.0,4
AMP,LR,isotonic,0.8500000000000001,0.8633624854944699,0.8947368421052632,19
AMP,LR,isotonic,0.95,0.9805080956216122,0.9806451612903225,155
AMP,RF,isotonic,0.05,0.018847840163504118,0.014957264957264958,936
AMP,RF,isotonic,0.15000000000000002,0.1465455511825846,0.15384615384615385,26
AMP,RF,isotonic,0.25,0.23682223854347775,0.3333333333333333,9
AMP,RF,isotonic,0.35000000000000003,0.3609375568549684,0.0,4
AMP,RF,isotonic,0.45,0.4428963439611498,0.0,6
AMP,RF,isotonic,0.55,0.5704722979469313,0.6666666666666666,6
AMP,RF,isotonic,0.6500000000000001,0.6453451155218288,0.8888888888888888,9
AMP,RF,isotonic,0.75,0.7553187428149714,0.9333333333333333,15
AMP,RF,isotonic,0.8500000000000001,0.8566827363558185,1.0,21
AMP,RF,isotonic,0.95,0.9783277662155618,0.9703703703703703,135
AUG,LR,isotonic,0.05,0.0060567897110430785,0.005905511811023622,1016
AUG,LR,isotonic,0.15000000000000002,0.15897405127358913,0.0,4
AUG,LR,isotonic,0.25,0.2479011941004305,0.0,2
AUG,LR,isotonic,0.35000000000000003,0.3631245745897531,0.0,1
AUG,LR,isotonic,0.45,0.4786465602049238,1.0,2
AUG,LR,isotonic,0.55,0.5010404587033703,1.0,1
AUG,LR,isotonic,0.6500000000000001,0.6017508178410806,1.0,1
AUG,LR,isotonic,0.75,0.7233379616454937,1.0,3
AUG,LR,isotonic,0.8500000000000001,0.8765317960017505,0.9347826086956522,46
AUG,LR,isotonic,0.95,0.9449899997086049,0.9120879120879121,91
AUG,RF,isotonic,0.05,0.006584132976932267,0.005928853754940711,1012
AUG,RF,isotonic,0.15000000000000002,0.12174541454403087,0.0,10
AUG,RF,isotonic,0.25,0.26950756906245843,0.0,1
AUG,RF,isotonic,0.55,0.5606578307748629,0.7142857142857143,7
AUG,RF,isotonic,0.6500000000000001,0.6500974725340062,1.0,3
AUG,RF,isotonic,0.75,0.7320401598330573,1.0,5
AUG,RF,isotonic,0.8500000000000001,0.8699021556953531,0.9387755102040817,49
AUG,RF,isotonic,0.95,0.9600859820922507,0.925,80
AXO,LR,isotonic,0.05,0.0012976038392733947,0.0018450184501845018,1084
AXO,LR,isotonic,0.15000000000000002,0.12889554072759005,0.0,6
AXO,LR,isotonic,0.25,0.2528286483263973,0.0,5
AXO,LR,isotonic,0.55,0.5307471849278923,0.3333333333333333,3
AXO,LR,isotonic,0.6500000000000001,0.6072674189574535,1.0,2
AXO,LR,isotonic,0.75,0.7830690314931706,0.6666666666666666,3
AXO,LR,isotonic,0.8500000000000001,0.8881288097691293,1.0,1
AXO,LR,isotonic,0.95,0.9963498169150893,1.0,63
AXO,RF,isotonic,0.05,0.0011052768268961354,0.0018399264029438822,1087
AXO,RF,isotonic,0.15000000000000002,0.1293158816341482,0.0,5
AXO,RF,isotonic,0.25,0.2511678723795737,0.0,2
AXO,RF,isotonic,0.35000000000000003,0.30781518414588627,0.5,2
AXO,RF,isotonic,0.45,0.40185763764195137,0.0,1
AXO,RF,isotonic,0.55,0.5490750620685335,1.0,2
AXO,RF,isotonic,0.6500000000000001,0.6258972835837917,0.5,2
AXO,RF,isotonic,0.75,0.7817135011535332,0.0,1
AXO,RF,isotonic,0.8500000000000001,0.839898202318656,1.0,3
AXO,RF,isotonic,0.95,0.996050694222688,1.0,62
CHL,LR,isotonic,0.05,0.015234960027379457,0.015429122468659595,1037
CHL,LR,isotonic,0.15000000000000002,0.14074692628111649,0.2,10
CHL,LR,isotonic,0.25,0.26034941179428306,0.2857142857142857,7
CHL,LR,isotonic,0.35000000000000003,0.35286355732605745,0.0,5
CHL,LR,isotonic,0.45,0.45589384834220115,0.5,2
CHL,LR,isotonic,0.55,0.5709852691683481,1.0,1
CHL,LR,isotonic,0.6500000000000001,0.6565810712331939,1.0,2
CHL,LR,isotonic,0.75,0.7283166967002473,1.0,1
CHL,LR,isotonic,0.8500000000000001,0.8389768256567308,1.0,4
CHL,LR,isotonic,0.95,0.9936961522242624,0.9897959183673469,98
CHL,RF,isotonic,0.05,0.017668334219593827,0.015503875968992248,1032
CHL,RF,isotonic,0.15000000000000002,0.1268724539648986,0.0625,16
CHL,RF,isotonic,0.25,0.25365500885995906,0.4,10
CHL,RF,isotonic,0.35000000000000003,0.36925364509804853,0.3333333333333333,3
CHL,RF,isotonic,0.45,0.42313468664044973,1.0,3
CHL,RF,isotonic,0.55,0.5940408943006232,1.0,2
CHL,RF,isotonic,0.75,0.7373540474330023,1.0,2
CHL,RF,isotonic,0.8500000000000001,0.8581895934647159,1.0,3
CHL,RF,isotonic,0.95,0.984429590304304,0.9791666666666666,96
FOX,LR,isotonic,0.05,0.0021622030240313955,0.001841620626151013,1086
FOX,LR,isotonic,0.15000000000000002,0.1351675899034392,0.2,5
FOX,LR,isotonic,0.25,0.25228705173355,0.14285714285714285,7
FOX,LR,isotonic,0.35000000000000003,0.3612761731341244,0.0,1
FOX,LR,isotonic,0.45,0.4715765862639754,1.0,2
FOX,LR,isotonic,0.55,0.5861192427295754,0.0,1
FOX,LR,isotonic,0.6500000000000001,0.6381258218380941,1.0,2
FOX,LR,isotonic,0.75,0.7877797538766076,1.0,2
FOX,LR,isotonic,0.8500000000000001,0.8662381161419358,1.0,5
FOX,LR,isotonic,0.95,0.9977735542127019,1.0,56
FOX,RF,isotonic,0.05,0.003449190707581304,0.001838235294117647,1088
FOX,RF,isotonic,0.15000000000000002,0.13310658957593355,0.42857142857142855,7
FOX,RF,isotonic,0.25,0.21781781665590313,0.0,1
FOX,RF,isotonic,0.35000000000000003,0.3356548637937755,0.0,3
FOX,RF,isotonic,0.55,0.5294973493621393,0.0,2
FOX,RF,isotonic,0.6500000000000001,0.6450880351631447,1.0,2
FOX,RF,isotonic,0.8500000000000001,0.8339701501692923,1.0,2
FOX,RF,isotonic,0.95,0.9960250402974569,1.0,62
