drug,module,model,random_f1,sublineage_f1,f1_drop,n_lineage_folds
AMP,accessory_chi2_200,LR,0.8543,0.4704,0.3839,5
AMP,accessory_chi2_200,RF,0.8574,0.5164,0.341,5
AMP,paper_ready50,LR,0.9188,0.7904,0.1284,5
AMP,paper_ready50,RF,0.9012,0.591,0.3102,5
AUG,accessory_chi2_200,LR,0.9274,0.6894,0.238,5
AUG,accessory_chi2_200,RF,0.9161,0.6973,0.2188,5
AUG,paper_ready50,LR,0.9242,0.5953,0.3289,5
AUG,paper_ready50,RF,0.9219,0.7194,0.2025,5
AXO,accessory_chi2_200,LR,0.9426,0.8951,0.0475,5
AXO,accessory_chi2_200,RF,0.9503,0.9091,0.0411,5
AXO,paper_ready50,LR,0.9547,0.9493,0.0054,5
AXO,paper_ready50,RF,0.9419,0.9207,0.0212,5
CHL,accessory_chi2_200,LR,0.8729,0.5702,0.3027,5
CHL,accessory_chi2_200,RF,0.8471,0.4124,0.4347,5
CHL,paper_ready50,LR,0.8865,0.5689,0.3175,5
CHL,paper_ready50,RF,0.8851,0.4672,0.4179,5
FOX,accessory_chi2_200,LR,0.8975,0.8649,0.0325,5
FOX,accessory_chi2_200,RF,0.8623,0.8441,0.0182,5
FOX,paper_ready50,LR,0.9071,0.886,0.021,5
FOX,paper_ready50,RF,0.8982,0.8674,0.0308,5
